,cell_type,marker,tissue
0,Proximal tubular cell,IntestinalAlkalinePhosphatase,Kidney
1,Ito cell (hepatic stellate cell),Synaptophysin,Liver
2,Trophoblast cell,CEACAM1,Endometrium
3,Primordial germ cell,VASA,Germ
4,Epithelial cell,KLF6,Corneal epithelium
5,Cytotrophoblast,FGF10,Placenta
6,Periosteum-derived progenitor cell,"CD166,CD45,CD9,CD90",Periosteum
7,Amnion epithelial cell,"NANOG,OCT3/4",Amniotic membrane
8,Primitive streak cell,"LHX1,MIXL1",Primitive streak
9,Stromal vascular fraction cell,CD34,Adipose tissue
10,Bulge stem cell,CD200,Scalp
11,Semilunar valve cell,MMP-13,Heart
12,Villous stromal cell,"NOV,CYR61",Chorionic villus
13,Kupffer cell,"CD11b,CD14,CD18,CD32,CD68",Liver
14,Adipose-derived stromal cell,"CD144,CD31,CD34",Adipose tissue
15,Oligodendrocyte,NOGO,Brain
16,Mesenchymal stem cell,CD44,Amniotic fluid
17,Cartilage progenitor cell,"CD146,COL2",Cartilage
18,Osteocyte,"DMP1,E11,MEPE,PHEX,SOST",Bone
19,Osteoclast,"CD56,RUNX2",Bone
20,Bipolar cell,"Aquaporin-0,Go-alpha,ISLET-1",Retina
21,Muller cell,GS,Retina
22,Monocyte,"CD11b,CD16,CD19,CD2,CD3,CD56,CD94,NKG2A",Peripheral blood
23,Natural killer cell,"CD11b,CD16,CD19,CD2,CD3,CD56,CD94,NKG2A",Blood
24,Cancer stem cell,"BMI1,CD44,NANOG,OCT4",Tongue
25,Mesenchymal stem cell,"CD105,CD166,CD29,CD44,CD49e,CD73,CD90",Gingiva
26,Cancer stem cell,"ALDH,ALDH1,CD44",Undefined
27,Mesenchymal stem cell,"CD105,CD14,CD31,CD34,CD44,CD73,CD90",Undefined
28,Monocyte,"CD14,CD19,CD20,CD27,CD3,CD38,IgA,IgG",Peripheral blood
29,Endometrial stem cell,"ICAM1,SUSD2",Uterus
30,Cancer stem cell,SOX9,Liver
31,Mesenchymal stem cell,"CD105,STRO-1",Dental pulp
32,Natural killer cell,CD56,Breast
33,Dental pulp stem cell,"CD105,CD29,CD44,CD73",Dental pulp
34,Cancer stem cell,KIAA1114,Liver
35,B cell,"CD19,CD27,CD38,CD45,IgD,ZAP70",Peripheral blood
36,Adipose-derived stem cell,"CD146,CD90,KLF4,NANOG,Nestin,OCT4,PDGFR,SOX2",Adipose tissue
37,Preadipocyte progenitor cell,"CD34,PDGFR-alpha",Adipose tissue
38,Cancer stem cell,CD271,Undefined
39,Regulatory T (Treg) cell,"CD49b,LAG3",Undefined
40,Cancer stem cell,CD49f,Stomach
41,Nucleus pulposus cell,"CA12,CD24,FOXF1,KRT19,PAX1,PTN",Nucleus pulposus
42,Urine-derived stem cell,"CD105,CD146,CD34,CD45,CD73,CD90,OCT3/4,STRO-1",Urine
43,Fibroblast,COL11A1,Pancreas
44,Fibroblast,CD90,Undefined
45,Immune cell,"CD11a,CD11b,CD170,CD172g,CD18,CD195,CD2,CD229,CD28,CD3,CD305,CD319,CD32,CD352,CD4,CD43,CD45,CD45RB,CD45RO,CD48,CD5,CD50,CD52,CD53,CD6,CD60b,CD69,CD7,CD85a,CD86,CD96,CDW198,HLA-DR",Undefined
46,Endothelial cell,"CD123,CD144,CD201,CD202b,CD220,CD231,CD269,CD292,CD309,CD332,CD66,CD66d,CD73,CD77,HPC",Undefined
47,Fibroblast,"CD111,CD140b,CD156b,CD271",Undefined
48,Endothelial cell,CD209,Undefined
49,T cell,CD150,Undefined
50,B cell,CD150,Undefined
51,Thymocyte,CD150,Undefined
52,Dendritic cell,CD150,Undefined
53,Neutrophil,CD16b,Undefined
54,B cell,FMC7,Undefined
55,Lymphocyte,CD197,Undefined
56,Cancer stem cell,CD133,Brain
57,Endothelial progenitor cell,"CD34,CD45,VEGFR-2",Peripheral blood
58,Endothelial cell,"CD133,CD144,CD34,CD45",Peripheral blood
59,Tumor endothelial cell,SBSN,Kidney
60,Tumor endothelial cell,SBSN,Colon
61,Premeiotic germ cell,MAGE-A4,Gonad
62,Gonocyte,OCT3/4,Gonad
