"Species","Tissue","Cell Type","Cancer","Cell Marker","Source","Supported Sources","Details"
"Human","Adipose tissue","Adipose-derived stem cell","Normal","CD105, CD146, CD271, CD31, CD34, CD45","Company","1","more details"
"Human","Adipose tissue","Endothelial cell","Normal","CD105, CD146, CD271, CD31, CD34, CD45","Company","1","more details"
"Human","Adipose tissue","Fat cell (adipocyte)","Normal","CD137, ACRP30, ADIPOR1, ADIPOR2, CIDEA, CHC22, DLK2, FABP4, FATP1, FATP2, FATP4, FATP5, FATP6, gACRP30, Galectin-12, GLUT4, Leptin, Perilipin-2, PGC-1-alpha, PPARgamma, DLK1, BSCL2, UCP1, VSTM2A, VSTM2B, ZIC1","Company","1","more details"
"Human","Adipose tissue","Mesenchymal stem cell","Normal","CD10, CD105, CD106, CD117, CD120a, CD13, CD140b, CD166, CD19, CD271, CD29, CD31, CD34, CD340, CD44, CD45, CD49d, CD49e, CD51, CD56, CD71, CD73, CD90, Ly6A/E","Company","1","more details"
"Human","Adipose tissue","Pericyte","Normal","CD105, CD146, CD271, CD31, CD34, CD45","Company","1","more details"
"Human","Airway epithelium","Epithelial cell","Normal","CD103, CD106, CD126, CD13, CD130, CD141, CD1d, CD24, CD324, iNOS","Company","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","BDCA-3, CC Chemokine Receptor D6, CD143, CD102, CD105, CD106, CD112, CD146, CD147, CD150, CD151, CD160, CD18, CD248, CD299, CD300g, CD31, CD34, CD36, CD49d, CD54, CD62E, CD62P, CD93, Coagulation Factor III, COLEC11, COLEC12, DCBLD2, ECSCR, EDG1, EDG3, EDG5, EDG6, EDG8, Endomucin, EPCR, Erythropoietin R, ESAM, FABP5, FABP6, IL-1 RI, IL-13 R alpha 1, Integrin alpha 4 beta 1, Integrin alpha 4 beta 7, KLF4, LYVE-1, PD-ECGF, Podocalyxin, Podoplanin, Stabilin-1, Stabilin-2, TEM7, TEM8, THSD1, THSD7A, TIE-2, TNFRSF10A, TNFRSF10B, TNFRSF1A, TNFRSF1B, VE-Cadherin, VEGFR-1, VEGFR-2, VEGFR-3, VE-Statin, VG5Q","Company","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD102, CD105, CD106, CD13, CD141, CD206, CD31, CD324, CD34, CD40, CD54, CD62, CD81, LYVE-1, Podoplanin, VEGF, VEGFR-1, VEGFR-2, VEGFR-3","Company","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD146, CD202b, CD309, CD31, CD34, CD54, CD61, CD62E, Endoglin, EPCR, Podoplanin, VCAM1, VE-Cadherin, VEGFR-3","Company","1","more details"
"Human","Blood vessel","Endothelial stem cell","Normal","CD102, CD105, CD106, CD114, CD117, CD120a, CD120b, CD14, CD146, CD29, CD31, CD34, CD45, CD49d, CD49e, CD49f, CD54, CD62L, CD62P","Company","1","more details"
"Human","Blood","B cell","Normal","CD19","Company","1","more details"
"Human","Blood","CD4+ T cell","Normal","CD3, CD4","Company","1","more details"
"Human","Blood","CD8+ T cell","Normal","CD3, CD8","Company","1","more details"
"Human","Blood","Hematopoietic stem cell","Normal","ABCG2, ALDH1A1, BMI1, CD105, CD106, CD117, CD133, CD150, CD244, CD34, CD38, CD44, CD45, CD45.1, CD45.2, CD48, CD49f, CD90, CD93, CDCP1, CXCR4, EPCR, Erythropoietin receptor, ESAM, EVI1, FLK1, FLK2, FLT3, GATA2, GFI1, MCL1, MYB, PLZF, Podocalyxin, Prominin 2, PTEN, SCA-1, SPI1, Spi-B, STAT5a, STAT5b","Company","1","more details"
"Human","Blood","Monocyte","Normal","CD14","Company","1","more details"
"Human","Blood","Myeloid dendritic cell","Normal","CD11b, CD11c, CD197, CD1a, CD1b, CD1c, CD205, CD207, CD209, CD273, CD304, CD4, CD40, CD49d, CD80, CD83, CD86, F4/80, HLA-DR, MHC Class II","Company","1","more details"
"Human","Blood","Naive T cell","Normal","CD197, CD3, CD4, CD45RA, CD45RB, CD62L","Company","1","more details"
"Human","Blood","Natural killer cell","Normal","CD3, CD56","Company","1","more details"
"Human","Blood","Neutrophil","Normal","CD10, CD114, CD11b, CD11c, CD13, CD14, CD15, CD16, CD31, CD32, CD33, CD62L, CD64, CD66b, CD88, CXCR1, CXCR2, JAML, TLR2","Company","1","more details"
"Human","Blood","Plasmacytoid dendritic cell","Normal","CD11b, CD11c, CD123, CD197, CD1a, CD1b, CD1c, CD273, CD303, CD304, CD4, CD40, CD45R, CD49d, CD8, CD80, CD83, CD85g, CD86, 33D1, F4/80, HLA-DR, MHC Class II, Siglec H","Company","1","more details"
"Human","Blood","Platelet","Normal","c-Src, CD102, CD107b, CD109, CSF3R, CD147, CD151, CD193, CD226, CD258, CD29, CD31, CD32, CD323, CD36, CD41, CD41b, CD42b, CD43, CD46, CD47, CD48, CD49b, CD49f, CD51, CD61, CD62P, CD63, CD69, CD84, CD9, Fc-epsilon RI-alpha, GARP, Lyn, PDGF, CCL5, VEGF","Company","1","more details"
"Human","Blood","Red blood cell (erythrocyte)","Normal","CD235a, CD24, CD45, Ter119","Company","1","more details"
"Human","Bone marrow","Endothelial cell","Normal","CD117, CD106, CD146, CD31, CD34, CD62E, CD62P, CXCR4, EDG1, EDG3, EDG5, EDG6, EDG8, FLT1, PLVAP, TIE-2, VE-Cadherin, VEGFR-2","Company","1","more details"
"Human","Bone marrow","Hematopoietic stem cell","Normal","ABCG2, ALDH1A1, BMI1, CD105, CD106, CD117, CD133, CD150, CD244, CD34, CD38, CD44, CD45, CD48, CD49f, CD90, CD93, CDCP1, CXCR4, EPCR, Erythropoietin receptor, ESAM, EVI1, FLK1, FLK2, FLT3, GATA2, GFI1, MCL1, MYB, PLZF, Podocalyxin, Prominin 2, PTEN, SCA-1, SPI1, Spi-B, STAT5a, STAT5b","Company","1","more details"
"Human","Bone marrow","Hematopoietic stem cell","Normal","BMI1, c-Myc, CD105, CD106, CD117, CD127, CD150, CD31, CD33, CD34, CD38, CD41, CD44, CD45, CD48, CD90, EPCR, GFI1, SCA-1, MCL1, MYB, PTEN, SCF, STAT5a, STAT5b, VEGFR-2","Company","1","more details"
"Human","Bone marrow","Hematopoietic stem cell","Normal","CD105, CD110, CD111, CD117, CD133, CD135, CD150, CD184, CD202b, CD243, CD271, CD309, CD338, CD34, CD90, CD93, SCA-1","Company","1","more details"
"Human","Bone marrow","Myeloid cell","Normal","CD10, CD106, CD115, CD117, CD11b, CD11c, CD122, CD123, CD13, CD130, CD14, CD141, CD15, CD16, CD163, CD165, CD169, CD177, CD178, CD183, CD192, CD193, CD194, CD195, CD198, CD200R, CD203c, CD205, CD206, CD212, CD217, CD218a, CD23, CD24, CD244, CD25, CD282, CD284, CD289, CD294, CD3, CD31, CD32, CD33, CD34, CD38, CD4, CD40, CD43, CD45, CD45RA, CD45RO, CD48, CD49d, CD49f, CD51, CD62L, CD66b, CD68, CD69, CD78, CD80, CD81, CD84, CD86, CD9, CXCR3, Dectin-1, Fc-epsilon RI-alpha, FLT3, iNOS, MARCO, MHC class II, SIGLEC8, ST2, TCR alpha/beta, VEGF, ZAP70","Company","1","more details"
"Human","Bone","Mesenchymal stem cell","Normal","CD10, CD105, CD106, CD117, CD120a, CD13, CD140b, CD166, CD19, CD271, CD29, CD31, CD34, CD340, CD44, CD45, CD49d, CD49e, CD51, CD56, CD71, CD73, CD90, Ly6A/E","Company","1","more details"
"Human","Bone","Osteoblast","Normal","Additional GABA Compounds, CD166, B220, Calcitonin and Related Receptor Agonists, Calcitonin and Related Receptor Antagonists, Calcitonin R, CD44, CD45, CD45.1, CD45.2, CD45RO, CD73, CD90, DC-STAMP, DLX5, EBF2, GABA-B R1, GABA-B Receptor Agonists, GABA-B Receptor Antagonists, GABA B Receptor Compounds, GABA-B Receptor Modulators, GABA Transporter Inhibitors, CD51, E4BP4, OC-STAMP, OSCAR, SP7, PTH1R, TNFRSF11A, RUNX2, TBX2, TBX3, TBX5, TCIRG1, WDR5","Company","1","more details"
"Human","Bone","Osteocyte","Normal","Biglycan, DMP1, FGF23, Fibronectin, Anastellin, MEPE, Podoplanin, SOST, SPARC","Company","1","more details"
"Human","Brain","Astrocyte","Normal","CD40, CD80, CD86, CD88, GFAP","Company","1","more details"
"Human","Brain","Neural stem cell","Normal","ASCL1, BMI1, CD146, CD24, CD29, CD338, CD49f, CD81, CXCR4, Ki67, Musashi-1, NOTCH1, SOX2, SOX9, Vimentin","Company","1","more details"
"Human","Cartilage","Mesenchymal stem cell","Normal","CD10, CD105, CD106, CD117, CD120a, CD13, CD140b, CD166, CD19, CD271, CD29, CD31, CD34, CD340, CD44, CD45, CD49d, CD49e, CD51, CD56, CD71, CD73, CD90, Ly6A/E","Company","1","more details"
"Human","Germ","Common lymphoid progenitor","Normal","CD10, CD34, CD38","Company","1","more details"
"Human","Germ","Definitive endoderm cell","Normal","CD184","Company","1","more details"
"Human","Germ","Ectoderm cell","Normal","NCAM, NOTCH1","Company","1","more details"
