"Species","Tissue","Cell Type","Cancer","Cell Marker","Source","Supported Sources","Details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD24, CD44","Experiment","10","more details"
"Human","Colorectum","Cancer stem cell","Colorectum Cancer","CD133","Experiment","10","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD31","Experiment","8","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH1","Experiment","8","more details"
"Human","Muscle","Endothelial cell","Normal","CD31","Experiment","8","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH1, CD24, CD44","Experiment","7","more details"
"Human","Breast","Myoepithelial cell","Normal","P63","Experiment","7","more details"
"Human","Lung","Myofibroblast","Normal","alpha-SMA","Experiment","7","more details"
"Human","Muscle","Muscle satellite cell","Normal","PAX7","Experiment","7","more details"
"Human","Prostate","Basal cell","Normal","P63","Experiment","7","more details"
"Human","Blood vessel","Stem cell","Normal","Nestin","Experiment","6","more details"
"Human","Liver","Cancer stem cell","Liver Cancer","CD133","Experiment","6","more details"
"Human","Liver","Myofibroblast","Normal","alpha-SMA","Experiment","6","more details"
"Human","Lung","Macrophage","Normal","CD68","Experiment","6","more details"
"Human","Prostate","Basal cell","Prostate Cancer","P63","Experiment","6","more details"
"Human","Serum","Macrophage","Normal","CD68","Experiment","6","more details"
"Human","Stomach","Stem cell","Normal","LGR5","Experiment","6","more details"
"Human","Synovium","Macrophage","Normal","CD68","Experiment","6","more details"
"Human","Blood","Basophil","Normal","CD63","Experiment","5","more details"
"Human","Brain","Cancer stem cell","Brain Cancer","CD133","Experiment","5","more details"
"Human","Colon","Cancer stem cell","Colon Cancer","CD133","Experiment","5","more details"
"Human","Undefined","Cancer stem cell","Breast Cancer","CD24, CD44","Experiment","5","more details"
"Human","Bone marrow","Plasma cell","Normal","CD138","Experiment","4","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD44","Experiment","4","more details"
"Human","Skin","Endothelial cell","Normal","CD31","Experiment","4","more details"
"Human","Blood","Memory B cell","Normal","CD27","Experiment","3","more details"
"Human","Blood","T cell","Normal","CD3","Experiment","3","more details"
